dataset,model,score
imagenet,dse-small,0.533787, +/- 0.010722
omniglot,dse-small,0.924200, +/- 0.005573
aircraft,dse-small,0.838621, +/- 0.005353
cu_birds,dse-small,0.770750, +/- 0.007293
dtd,dse-small,0.608513, +/- 0.007710
quickdraw,dse-small,0.786830, +/- 0.006333
fungi,dse-small,0.552451, +/- 0.011071
vgg_flower,dse-small,0.873075, +/- 0.005787
traffic_signs,dse-small,0.560148, +/- 0.011209
mscoco,dse-small,0.511987, +/- 0.010581
mean,dse-small,0.6960362
mnist,0.936133, +/- 0.004185
cifar10,0.755455, +/- 0.006593
cifar100,0.634865, +/- 0.009865

ITER=628000
dse-small-fine-tune, 104 minutes
imagenet,0.536447, +/- 0.010463
omniglot,0.925649, +/- 0.005509
aircraft,0.841620, +/- 0.006067
cu_birds,0.762706, +/- 0.007505
dtd,0.619063, +/- 0.007583
quickdraw,0.785556, +/- 0.006444
fungi,0.543236, +/- 0.010686
vgg_flower,0.865439, +/- 0.005662
traffic_signs,0.574738, +/- 0.010609
mscoco,0.515170, +/- 0.010436
mnist,0.948092, +/- 0.003883
cifar10,0.758573, +/- 0.007522
cifar100,0.652945, +/- 0.009606

ITER=628000
dse-small-0shot, 2:05 start
imagenet,0.531504, +/- 0.010649
omniglot,0.924329, +/- 0.005041
aircraft,0.845238, +/- 0.005598
cu_birds,0.762041, +/- 0.008238
dtd,0.606849, +/- 0.008448
quickdraw,0.783139, +/- 0.006293
fungi,0.552193, +/- 0.011121
vgg_flower,0.867108, +/- 0.005822
traffic_signs,0.560881, +/- 0.010476
mscoco,0.512151, +/- 0.010760
mnist,0.941315, +/- 0.003774
cifar10,0.740664, +/- 0.007330
cifar100,0.636487, +/- 0.009976

FLUTE 0Shot
imagenet,0.533785, +/- 0.010796
omniglot,0.936117, +/- 0.004974
aircraft,0.874839, +/- 0.005500
cu_birds,0.786134, +/- 0.008073
dtd,0.674080, +/- 0.007342
quickdraw,0.798156, +/- 0.006141
fungi,0.583764, +/- 0.010927
vgg_flower,0.917227, +/- 0.005680
traffic_signs,0.538221, +/- 0.010251
mscoco,0.493064, +/- 0.010425
mnist,0.944274, +/- 0.003818
cifar10,0.764957, +/- 0.007291
cifar100,0.669898, +/- 0.009461
